,theta,theta_past_ma10
0,inf,
1,inf,
2,inf,
3,inf,
4,inf,
5,inf,
6,inf,
7,inf,
8,inf,
9,0.006800677899063378,
10,0.0064642567863004855,0.006800677899063378
11,0.005912727916859872,0.006632467342681932
12,0.006035203432422909,0.006392554200741245
13,0.006323107647417315,0.006303216508661662
14,0.007065182541389698,0.006307194736412792
15,0.009176874579295054,0.006433526037242276
16,0.010678430444735293,0.006825432971821245
17,0.009779003899307259,0.007307057655935501
18,0.010664753964443562,0.007581718349643474
19,0.012454063317270928,0.007890021911123483
20,0.013371553210211396,0.008455360452944236
21,0.030191511917723037,0.009146090095335329
22,0.04361590534547173,0.011573968495421645
23,0.041987508241702644,0.015332038686726529
24,0.00946299034561424,0.01889847874615506
25,0.009226634526353332,0.019138259526577515
26,0.009085504203075384,0.019143235521283344
27,0.008874961481242333,0.018983942897117353
28,0.008689306997197253,0.01889353865531086
29,0.008574289063662933,0.01869599395858623
30,0.008607863387077988,0.018308016533225425
31,0.1015243287761331,0.01783164755091209
32,0.09297821861451126,0.024964929236753093
33,0.11117762183035114,0.029901160563657048
34,0.11597489185834028,0.03682017192252189
35,0.11561418855894667,0.0474713620737945
36,0.11339268909821872,0.05811011747705384
37,0.8960585773631735,0.06854083596656817
38,0.8058990038531968,0.1572591975547613
39,0.8018589745670327,0.23698016724036125
40,0.7270502416431686,0.31630863579069823
41,0.39283828363584805,0.3881528736163073
42,0.3830184253981361,0.4172842691022788
43,0.3803089864513502,0.44628828978064117
44,0.39189952655729027,0.4732014262427412
45,0.34962117363251805,0.5007938897126362
46,0.32627880362436734,0.5241945882199933
47,0.3275870581578261,0.5454831996726082
48,0.48951053062533884,0.48863604775207337
49,0.07246531141467179,0.4569972004292876
50,0.07268694022996686,0.38405783411405153
51,0.07268912700651041,0.31862150397273137
52,0.0711429568594246,0.28660658830979757
53,0.07128626146975904,0.2554190414559265
54,0.07069060676636006,0.22451676895776734
55,0.07031185750581258,0.1923958769786743
56,0.7901006563951158,0.16446494536600376
57,0.914669148917974,0.21084713064307864
58,1.453853720021498,0.2695553397190934
59,1.0107222676200902,0.36598965865870936
60,0.9354951967237701,0.45981535427925124
61,0.9959741538686923,0.5460961799286316
62,0.8868527225001885,0.6384246826148497
63,0.8664262827079319,0.719995659178926
64,0.8490450778588499,0.7995096613027434
65,0.8536124271993681,0.8773451084119923
66,1.0615673267951349,0.955675165381348
67,1.026285138189428,0.9828218324213498
68,0.9546048252384763,0.9939834313484953
69,2.101533869089529,0.944058541870193
70,2.0652694305797867,1.0531397020171371
71,0.7105374480937448,1.1661171254027385
72,0.3649142640876336,1.1375734548252439
73,0.261793412132468,1.0853796089839882
74,0.2790249879991831,1.024916321926442
75,0.28393901447665826,0.9679143129404754
76,0.29669566505784334,0.9109469716682043
77,0.332107382811866,0.8344598054944751
78,0.3244421988114756,0.7650420299567189
79,0.34831619945315156,0.7020257673140189
80,0.7114213772998023,0.526704000350381
81,0.7202935969168456,0.39131919502238266
82,0.7818916659259553,0.39229480990469273
83,0.7905912283527593,0.4339925500885249
84,1.6979583546478378,0.4868723317105541
85,0.9235744751485498,0.6287656683754195
86,0.802612104248835,0.6927292144426087
87,0.7153408342868732,0.7433208583617079
88,0.704873817234284,0.7816442035092085
89,0.6845329630123065,0.8196873653514893
90,0.6867488426395799,0.853309041707405
91,0.6645200499915686,0.8508417882413827
92,0.9602460348709121,0.845264433548855
93,1.0121651929338034,0.8630998704433507
94,1.3586253194885498,0.8852572669014549
95,1.1073119229371124,0.8513239633855262
96,1.1925532685705627,0.8696977081643824
97,1.0930978662472046,0.9086918245965553
98,1.329728224332024,0.9464675277925882
99,1.321867189822065,1.0089529685023624
100,1.5345008087454757,1.0726863911833382
101,1.89948974681875,1.1574615877939278
102,2.7979443090613954,1.2809585574766458
103,3.4932588430718337,1.4647283848956945
104,4.3403871818960775,1.7128377499094973
105,4.168521058149114,2.01101393615025
106,0.6022225858250035,2.31713484967145
107,0.5902193308468834,2.2581017813968947
108,0.5758776324792367,2.2078139278568623
109,0.565347858412268,2.1324288686715835
110,0.507902744094607,2.056776935530604
111,0.4932625544630785,1.9541171290655168
112,0.5026838388566265,1.8134944098299495
113,0.6791562045807732,1.5839683628094727
114,0.7349569839705793,1.302558098960367
115,0.8929084310282908,0.942015079167817
116,1.2150008098735408,0.6144538164557347
117,1.5199009770529899,0.6757316388605884
118,0.9868605608239831,0.768699803481199
119,1.035789860690046,0.8097980963156737
120,1.0275886732982555,0.8568422965434515
121,0.9717841197414713,0.9088108894638165
122,0.9819591260364943,0.9566630459916556
123,0.9477296047302964,1.0045905747096424
124,0.9666175242624981,1.0314479147245947
125,2.295299587797611,1.0546139687537865
126,2.180040281652399,1.1948530844307186
127,2.097559868501716,1.2913570316086045
128,2.2195896127561427,1.3491229207534772
129,2.1976104595842676,1.4723958259466932
130,2.4751361659358455,1.5885778858361153
131,3.425719629693994,1.7333326350998743
132,5.321092471806869,1.9787261860951264
133,3.869247377262707,2.412639520672164
134,3.3749712258979097,2.704791297925405
135,1.0161586897554535,2.9456266680889462
136,0.6787956169578316,2.8177125782847305
137,0.708409284506476,2.6675881118152738
138,0.6772237262546572,2.52867305341575
139,0.4872701380379686,2.374436464765601
140,0.4728242359006924,2.203402432610971
141,0.4749753930310548,2.0031712396074557
142,0.46974464603594107,1.7080968159411618
143,0.4893100454452021,1.2229620333640692
144,0.47501646011040616,0.8849683001823188
145,0.4763644415052044,0.5949728236035684
146,2.188407301816918,0.5409933987785435
147,1.6767910964931236,0.691954567264452
148,1.5467510392257098,0.7887927484631169
149,1.7343947132061048,0.875745479760222
150,1.7373436165388354,1.0004579372770357
151,0.3127931822837372,1.12690987534085
152,0.3110813591988464,1.1106916542661183
153,0.31150388552450037,1.0948253255824087
154,0.3104672908604548,1.0770447095903386
155,0.31972721661986625,1.0605897926653436
156,0.32632473781652777,1.0449260701768097
157,0.32378714211072557,0.8587178137767706
158,0.8580196169960429,0.7234174183385308
159,0.9080928597016023,0.6545442761155641
160,0.851050941090103,0.5719140907651139
161,0.8720755614388531,0.4832848232202407
162,1.1481771137055397,0.5392130611357522
163,1.160420324969139,0.6229226365864216
164,1.1566774457025142,0.7078142805308854
165,1.136475997205926,0.7924352960150914
166,1.136094696880605,0.8741101740736973
167,3.183852060459808,0.955087169980105
168,0.867980180131736,1.2410936618150132
169,0.8851956840245385,1.2420897181285828
170,0.7685067442249314,1.2398000005608762
171,0.8372737970249389,1.2315455808743592
172,0.8708520017538369,1.2280654044329675
173,0.871279837429491,1.2003328932377975
174,0.8317010281160481,1.1714188444838327
175,1.104568559277969,1.138921202725186
176,0.6087757225305004,1.1357304589323902
177,0.6360864796253127,1.0829985614973798
178,0.6376979140758137,0.8282220034139302
179,0.6179425871120282,0.805193776808338
180,0.6823439457338589,0.7784684671170871
181,0.7938212255766495,0.7698521872679798
182,0.854121864173675,0.7655069301231509
183,1.0513958662594358,0.7638339163651346
184,0.9817087568543035,0.7818455192481292
185,0.43262765753370663,0.7968462921219548
186,0.35013649747799347,0.7296522019475284
187,0.3437357104412282,0.7037882794422778
188,0.3441111972014305,0.6745532025238693
189,0.3755987930610087,0.645194530836431
190,0.3806245336725946,0.620960151431329
191,0.5314696629959141,0.5907882102252027
192,0.06395422536458456,0.5645530539671291
193,0.06493430295055119,0.48553629008622
194,0.06671681570653226,0.38689013375533154
195,0.057260821456176794,0.2953909396405544
196,0.050701577239075965,0.25785425603280143
197,0.04896708414673416,0.2279107640089097
198,0.04758801090407191,0.1984339013794603
199,0.048514235701124266,0.16878158274972443
200,0.04497864646691446,0.136073127013736
201,0.04313762789449814,0.10250853829316797
202,0.049880940395576626,0.05367533478302637
203,0.33528865444410694,0.05226800628612558
204,0.5039696245705308,0.07930344143548115
205,1.0581463855038264,0.123028722321881
206,1.3680925206376608,0.223117278726646
207,1.5229105263447804,0.35485637306650447
208,0.7937935844323076,0.5022507172863091
209,0.5341313706180806,0.5768712746391327
210,0.5311100162841427,0.6254329881308284
211,0.5561007271601559,0.6740461251125511
212,0.5559323361066525,0.7253424350391169
213,0.5680392843753762,0.7759475746102245
214,0.5617537264280181,0.7992226376033514
215,0.5930104185366186,0.8050010477891002
216,0.6744115602166805,0.7584874510923794
217,0.33508519429333755,0.6891193550502813
218,0.3330705649843053,0.570336821845137
219,0.3246046492605661,0.5242645199003368
220,0.25650529054174864,0.5033118477645854
221,0.22186816832132267,0.47585137519034604
222,0.21752286238480523,0.44242811930646264
223,0.228691383499818,0.4085871719342779
224,0.2579263864700185,0.37465238184672206
225,0.1815535078077982,0.34426964785092207
226,0.1594052494526575,0.30312395677804005
227,0.14764705386351534,0.25162332570163776
228,0.14956246456730982,0.23287951165865556
229,0.17203068984590777,0.214528701616956
230,0.42436189898667775,0.19927130567549017
231,0.8119600084131879,0.21605696651998305
232,0.8736417632585189,0.2750661505291696
233,0.8393218221194614,0.340678040616541
234,0.8318676406467552,0.4017410844785053
235,1.1559290480005415,0.45913520989617895
236,1.2424144042956033,0.5565727639154533
237,0.8751533286820647,0.6648736793997478
238,0.8189606115443473,0.7376243068816029
239,0.8356763941275704,0.8045641215793065
240,0.7624441576525853,0.8709286920074728
241,1.0237866169875198,0.9047369178740636
242,0.9563856912432184,0.9259195787314969
243,0.9338065738983818,0.9341939715299669
244,0.9795079579502408,0.9436424467078588
245,0.6786927683235635,0.9584064784382074
246,0.6594218733682203,0.9106828504705093
247,0.7199355866522518,0.8523835973777713
248,0.6931389195594434,0.8368618231747899
249,0.6746458578295238,0.8242796539762995
250,0.6697086633540982,0.808176600346495
251,0.6575835012492703,0.7989030509166463
252,3.3331623574975495,0.7622827393428213
253,4.57670840883783,0.9999604059682543
254,3.7893369775100387,1.3642505894621992
255,3.8000366523380102,1.645233491418179
256,4.089868697779535,1.9573678798196237
